ko-etym-Sino,2002
ko-IPA,8334
ko-tone,395
ko-regional,429
ko-noun,5316
ko-l,9245
ko-etym-sino,10538
ko-etym-native,2057
ko-pos,1141
ko-hanja-reading,3532
ko-x,348
ko-etym-nativised,91
ko-usex,839
ko-ref,40
ko-adj,164
ko-verb-set,310
ko-ipa,206
ko-suffix,27
ko-verb-form,10
ko-root,15
ko-propn,41
ko-adv,54
ko-inline,53
ko-determ,23
ko-verb,215
ko-dv,52
ko-adverb,13
ko-div,8
ko-compound-verb,80
ko-sino-reading,9
ko-adj-form,9
ko-etym-verbal-suffix,58
ko-interj,4
ko-det,2
ko-conj-adj,1
ko-usage-noun-determiner,3
ko-inline-inf,2
ko-num,10
ko-adjective,7
ko-derived-verbs,1
ko-hanjatab,1
ko-proverb,4
